Key,Team,League,Season,Rank,Games,Wins,Draws,Losses,Points,GoalsFor,GoalsAgainst,GoalDifference,Goals,Possession,PassSuccess,CrossesPerGame,ThroughBallsPerGame,LongBallsPerGame,ShortPassesPerGame,OpenPlayGoals,CounterAttackGoals,SetPieceGoals,PenaltyGoals,OwnGoals,TotalTacklesPerGame,DribbledPastPerGame,TotalAttemptedTacklesPerGame,InterceptionsPerGame,FouledPerGame,FoulsPerGame,YellowCardPerGame,RedCardPerGame,OffsidesPerGame,ClearancesPerGame,ShotsBlockedPerGame,CrossesBlockedPerGame,TiotalSavesPerGame,SixYardSavesPerGame,PenaltyAreaSavesPerGame,OutOfBoxSavesPerGame,TotalShotsPerGame,OutOfBoxShotsPerGame,SixYardBoxShotsPerGame,PenaltyAreaShotsPerGame,GoalsPerGame,SixYardGoalsPerGame,PenaltyAreaGoalsPerGame,OutOfBoxGoalsPerGame,UnsuccessfulDribblesPerGame,SuccessfulDribblesPerGame,TotalDribblesPerGame,DisspossedPergame,TotalAerialDuelsPerGame,AerialDuelsWonPerGame,AerialDuelsLostPerGame,TotalPassesPerGame,AccurateLongBallsPerGame,InAccurateLongBallsPerGame,AccShortPassesPerGame,InAccurateShortPassesPerGame,TotalKeyPassesPerGame,LongKeyPassesPerGame,ShortKeyPassesPerGame,CrossAssistPerGame,CornerAssistPerGame,ThroughballAssistPerGame,FreekickAssistPerGame,ThrowInAssistPergame,OtherAssistPerGame,TotalAssistPerGame,ShotsOnTarget,ShotsOnTargetAgainst,ShotsOnTargetPer90,ShotsOnTargetAgainstPer90,Touches,TouchesDefPen,TouchesDefThird,TouchesMidThird,TouchesAttThird,TouchesAttPen,LiveTouches,NumOfPlayersDribbledPast,Nutmegs,Controlled,DistMovedWithBall,ProgressiveDistMoved,ProgC,ProgressiveIntoFinalThird,ProgressiveInto18Yard,Miscontrols,MiscontrolsAfterTackle,ProgressivePassReceived
Chelsea DL 2009/2010,Chelsea,Premier League,2009/2010,1,38,27,5,6,86,103,32,71,103,56.9,82.5,29,7,61,444,63,8,17,11,4,20.3,5.3,25.6,18.6,12.3,12.4,1.4,0.1,2.5,27.8,2.7,2,1.9,0,1.1,0.8,21.9,9.9,1.7,10.4,2.6,0.7,1.7,0.2,8.7,8.6,17.3,13.2,23.7,11.6,12.1,503.3,36.1,24,379,64.2,16.8,3.7,13.1,0.7,0.1,0.3,0,0,0.9,1.9,241,113,6.342105263,2.973684211,,,,,,,,,,,,,,,,,,
Manchester United DL 2009/2010,Manchester United,Premier League,2009/2010,2,38,27,4,7,85,86,28,58,86,55.6,79.9,31,6,66,453,51,6,13,6,10,21.8,5.6,27.4,15.8,11.7,11.7,1.3,0.1,2.2,25.9,2.6,2,2.7,0.1,1.1,1.6,18.3,7.4,0.9,10,2,0.3,1.4,0.2,5.2,8.7,13.9,16.4,25.8,13.2,12.5,516.3,35.6,28.7,377.2,74.9,14.4,2.7,11.8,0.6,0.1,0.3,0.1,0,0.5,1.3,218,146,5.736842105,3.842105263,,,,,,,,,,,,,,,,,,
Tottenham DL 2009/2010,Tottenham,Premier League,2009/2010,4,38,21,7,10,70,67,41,26,67,52.2,76.1,24,3,79,345,42,6,17,2,0,22.2,6.2,28.4,21.2,13.2,12.2,1.5,0,3.1,35.8,3.4,2.5,3.4,0.1,2.1,1.3,17.9,8.5,1.2,8.3,1.8,0.4,1.1,0.2,7.7,9,16.6,13.6,31.7,18.2,13.4,417.1,44.3,31.2,272.9,68.7,13.6,3.4,10.2,0.4,0.1,0.2,0.1,0,0.6,1.3,202,178,5.315789474,4.684210526,,,,,,,,,,,,,,,,,,
Arsenal DL 2009/2010,Arsenal,Premier League,2009/2010,3,38,23,6,9,75,83,41,42,83,57,80.8,27,9,56,459,49,9,16,3,6,21.5,6.6,28.2,22.1,14,12.4,1.5,0,2.4,28.7,2.3,2.2,2.4,0.1,1.2,1.2,17.4,7.1,1,9.3,2.1,0.4,1.2,0.5,8.6,11.9,20.5,18.8,29.7,14.4,15.2,515,28.4,26.2,387.8,72.6,13.3,2.1,11.2,0.4,0.1,0.3,0.1,0,0.8,1.5,243,129,6.394736842,3.394736842,,,,,,,,,,,,,,,,,,
Aston Villa DL 2009/2010,Aston Villa,Premier League,2009/2010,6,38,17,13,8,64,52,39,13,52,48.5,71.8,27,2,65,294,23,4,16,5,4,23.2,7.4,30.5,18.2,11.4,13.4,1.6,0.1,2.1,40.3,5.9,2.4,3.2,0.1,1.4,1.6,13.1,5.1,1.3,6.7,1.3,0.4,0.7,0.2,7.2,4.9,12.1,13.7,34.4,18.8,15.6,354.8,30.5,32.3,224.4,67.6,9.6,3,6.6,0.3,0.1,0.1,0,0,0.5,0.9,167,186,4.394736842,4.894736842,,,,,,,,,,,,,,,,,,
Manchester City DL 2009/2010,Manchester City,Premier League,2009/2010,5,38,18,13,7,67,73,45,28,73,52.2,76,21,5,71,370,37,10,21,5,0,21.1,5.8,26.9,21.2,12.8,11.9,1.3,0.1,3.2,33.4,3.2,2.3,2.8,0.2,1.4,1.1,13.8,5.7,1.1,7,1.9,0.5,1.1,0.3,8.5,7.7,16.2,13.4,27.3,12.7,14.6,438.7,35.3,34.2,298.1,71.1,10.4,2.3,8.1,0.3,0.1,0.2,0.1,0,0.9,1.4,182,157,4.789473684,4.131578947,,,,,,,,,,,,,,,,,,
Liverpool DL 2009/2010,Liverpool,Premier League,2009/2010,7,38,18,9,11,63,61,35,26,60,55.8,78.5,27,4,72,429,37,4,14,3,3,25.2,6.6,31.8,20.1,12.8,12.2,1.4,0.1,1.6,28.8,2.1,1.9,2.6,0.2,1.4,1.1,16.9,7.8,1.4,7.7,1.6,0.4,0.9,0.2,10.5,8.1,18.6,12.9,28.1,13,15,496.5,40.4,29.9,349.4,76.8,12.3,2.2,10.1,0.2,0,0.2,0.1,0,0.7,1.1,204,139,5.368421053,3.657894737,,,,,,,,,,,,,,,,,,
Everton DL 2009/2010,Everton,Premier League,2009/2010,8,38,16,13,9,61,60,49,11,60,51.2,75,27,3,72,333,32,2,17,5,4,20.2,5.7,25.9,21.8,14.3,13.4,1.5,0.1,2.5,42.1,3.6,3.5,3,0.1,1.4,1.4,15.5,7.1,1,7.4,1.6,0.4,0.9,0.2,4.8,5.8,10.6,15.8,32.2,16.2,15.9,399.9,33.6,36.4,266.3,63.6,11.4,3.2,8.2,0.4,0.1,0.1,0.1,0,0.6,1,192,170,5.052631579,4.473684211,,,,,,,,,,,,,,,,,,
Birmingham DL 2009/2010,Birmingham,Premier League,2009/2010,9,38,13,11,14,50,38,47,-9,38,47.7,67.2,19,3,76,293,17,4,14,2,1,20.7,7.3,28,20.4,13.2,11.9,1.9,0,2.6,39.4,5.1,3.2,3.4,0.2,1.6,1.6,11.9,5.2,1.1,5.6,1,0.3,0.4,0.2,8,6.3,14.3,11.7,35.1,16.9,18.1,367.4,29.7,45.3,217.2,75.3,8.2,1.8,6.4,0.2,0,0.1,0,0,0.4,0.7,122,208,3.210526316,5.473684211,,,,,,,,,,,,,,,,,,
Sunderland DL 2009/2010,Sunderland,Premier League,2009/2010,13,38,11,11,16,44,48,56,-8,48,47.3,65.9,23,4,72,269,25,6,9,6,2,23.4,6.9,30.3,21.8,11.8,14.6,2,0.2,2.4,43.2,4.3,2.8,3.2,0.4,1.7,1.1,11.7,5.2,0.7,5.7,1.3,0.3,0.8,0.1,6.2,5.7,11.9,14.1,36.1,18.9,17.2,339.7,29,41.6,195,74.1,7.9,2.2,5.7,0.4,0,0.1,0,0,0.3,0.8,159,199,4.184210526,5.236842105,,,,,,,,,,,,,,,,,,
West Ham DL 2009/2010,West Ham,Premier League,2009/2010,17,38,8,11,19,35,47,66,-19,47,49.4,74.9,18,4,70,329,22,0,18,7,0,21.8,7.9,29.7,19.9,13.5,14.2,1.6,0.1,2.4,42.7,4.2,3.1,3.2,0.1,1.5,1.6,14.4,6.9,0.6,7,1.3,0.3,0.8,0.2,10.3,7.2,17.5,13.7,32.9,15.3,17.7,395.2,32.7,34.9,263.5,64.1,10.4,2.6,7.7,0.3,0.1,0.1,0.1,0,0.4,0.8,176,193,4.631578947,5.078947368,,,,,,,,,,,,,,,,,,
Fulham DL 2009/2010,Fulham,Premier League,2009/2010,12,38,12,10,16,46,39,46,-7,39,49.9,73.8,19,3,66,383,25,0,9,4,1,19.6,6.8,26.4,19.8,11.8,12.3,1.2,0,2.4,38.4,3.9,3,3.3,0.3,1.7,1.4,12.2,6,0.8,5.3,1.1,0.2,0.6,0.2,5.8,3.9,9.7,12.3,33.4,15.5,17.9,443.8,29.2,34.4,298.4,81.8,8.8,1.8,7,0.2,0.1,0.1,0.1,0,0.4,0.7,182,176,4.789473684,4.631578947,,,,,,,,,,,,,,,,,,
Bolton DL 2009/2010,Bolton,Premier League,2009/2010,14,38,10,9,19,39,42,67,-25,42,45.1,63.7,23,3,71,240,18,0,20,4,0,24,7.7,31.7,19.3,12.3,14.8,1.9,0.1,1.5,43.1,3.9,3.2,3.6,0.2,2.1,1.3,14.7,6.7,1.4,6.6,1.2,0.3,0.7,0.1,6.4,5.2,11.6,11.7,37.1,20.1,17,310.8,31.2,39.1,166.6,73.8,9.9,2.1,7.9,0.2,0,0.1,0.1,0,0.4,0.7,176,208,4.631578947,5.473684211,,,,,,,,,,,,,,,,,,
Stoke DL 2009/2010,Stoke,Premier League,2009/2010,11,38,11,14,13,47,34,48,-14,34,43.4,62.2,17,2,69,215,16,1,14,2,1,19.1,5.2,24.2,19.4,10.3,13,1.7,0.1,2.3,42.9,4.8,2.9,3.3,0.1,1.3,1.8,10.6,3.9,1.2,5.5,0.9,0.2,0.6,0.1,7.4,3.9,11.3,10.1,39.5,19.6,19.9,282.2,27.9,40.2,147.7,66.4,7.8,2.9,4.9,0.2,0.1,0.1,0.1,0,0.4,0.7,146,192,3.842105263,5.052631579,,,,,,,,,,,,,,,,,,
Wigan DL 2009/2010,Wigan,Premier League,2009/2010,16,38,9,9,20,36,37,79,-42,37,51.4,74.3,18,3,77,322,24,1,10,1,1,23.9,7.3,31.2,19.6,12.7,13.4,1.7,0.1,1.3,35.6,3.4,2.4,2.9,0.1,1.8,1,14.6,8.1,1,5.5,1,0.3,0.6,0.1,10.8,8.9,19.7,16.1,30.9,14.9,16,396.9,37.8,38.4,257,63.8,10.7,2.3,8.4,0.2,0,0.1,0.1,0,0.3,0.6,175,206,4.605263158,5.421052632,,,,,,,,,,,,,,,,,,
Blackburn DL 2009/2010,Blackburn,Premier League,2009/2010,10,38,13,11,14,50,41,55,-14,41,45.9,63.8,20,2,68,254,13,2,21,3,2,18.7,6.3,25,19.2,12.1,14.8,1.5,0.1,3.3,41,3.5,2.3,2.9,0.2,1.2,1.5,12.9,4.8,1.4,6.6,1.1,0.3,0.6,0.1,7.8,4.4,12.2,11.7,38.1,21.2,16.9,319.2,24.8,41.9,178.8,73.7,8.3,2.1,6.1,0.3,0.2,0.1,0.1,0,0.3,0.7,143,176,3.763157895,4.631578947,,,,,,,,,,,,,,,,,,
Portsmouth DL 2009/2010,Portsmouth,Premier League,2009/2010,20,38,7,7,24,19,34,66,-32,37,48.4,73.6,22,3,65,306,17,2,12,3,0,20.4,7.7,28.1,17.9,11.8,13.5,1.8,0.1,2.4,35.7,3.6,2.9,3.5,0.3,1.6,1.6,14,7.2,1,5.9,1,0.3,0.5,0.1,7.9,6,14,13.1,28.3,13.7,14.6,367,27.8,34.9,242.4,61.9,9.8,2,7.8,0.2,0,0.1,0,0,0.3,0.7,149,211,3.921052632,5.552631579,,,,,,,,,,,,,,,,,,
Wolverhampton DL 2009/2010,Wolverhampton,Premier League,2009/2010,15,38,9,11,18,38,32,56,-24,31,47.6,67.3,25,2,72,283,14,0,12,2,4,18.6,4.9,23.4,14.1,11,13.8,1.7,0.1,1.7,42.6,3.3,3.7,4.1,0.2,2.3,1.6,11.5,4.6,1,5.8,0.8,0.2,0.4,0.1,6.5,3.6,10.1,10.8,32.2,15,17.3,353,28.3,42.6,209.1,72.9,8.3,2.2,6.1,0.2,0.1,0,0.1,0,0.3,0.5,145,225,3.815789474,5.921052632,,,,,,,,,,,,,,,,,,
Burnley DL 2009/2010,Burnley,Premier League,2009/2010,18,38,8,6,24,30,42,82,-40,42,49.2,68.7,22,2,73,297,30,2,4,6,0,18.1,6.9,25,17.4,12.2,12.1,1.5,0.1,1.7,40.8,3.9,2.6,3.9,0.2,2.2,1.6,12.1,6,0.6,5.6,1.2,0.2,0.8,0.1,8.2,6,14.2,13.8,30,15.2,14.8,367.8,27.8,44,225,71,8.8,2.3,6.5,0.3,0,0.1,0,0,0.4,0.8,154,234,4.052631579,6.157894737,,,,,,,,,,,,,,,,,,
Hull DL 2009/2010,Hull,Premier League,2009/2010,19,38,6,12,20,30,34,75,-41,39,45.4,66.7,20,1,69,256,15,1,12,6,0,20,5.8,25.8,17.7,13.6,14.7,1.7,0.2,2.3,40.2,4.1,3.3,3.6,0.3,1.8,1.5,10.2,5.2,0.6,4.4,1,0.2,0.5,0.2,6.9,4.7,11.7,14.1,35.4,16.2,19.2,320.6,27.9,39.8,185.9,67,6.4,1.8,4.7,0.3,0.1,0,0.1,0,0.2,0.5,120,236,3.157894737,6.210526316,,,,,,,,,,,,,,,,,,
Chelsea DL 2010/2011,Chelsea,Premier League,2010/2011,2,38,21,8,9,71,69,33,36,69,56,83,26,7,61,455,40,4,18,6,1,20.2,6.3,26.5,16.2,11.3,11.6,1.6,0,3,20.1,3.3,1.4,2.6,0.1,1.2,1.4,19.6,8.5,1.6,9.5,1.8,0.5,1.1,0.2,8.4,10.1,18.5,15.1,23.2,12.7,10.4,513.9,36.3,23.9,390.4,63.3,14.7,2.8,11.9,0.3,0.1,0.2,0.1,0,0.7,1.2,241,148,6.342105263,3.894736842,,,,,,,,,,,,,,,,,,
Manchester United DL 2010/2011,Manchester United,Premier League,2010/2011,1,38,23,11,4,80,78,37,41,78,54.6,80.8,27,6,68,440,54,5,13,3,3,18.2,6.2,24.4,17,10.2,11.1,1.5,0.1,2.7,27.7,2.8,2.7,2.3,0.1,0.9,1.3,16.3,7,1.2,8.1,2,0.6,1.2,0.2,7,8.2,15.2,12.4,24.6,12.6,11.9,505.1,39.4,26.8,368.9,70,12.6,2.7,9.9,0.7,0.1,0.3,0.1,0,0.6,1.6,218,139,5.736842105,3.657894737,,,,,,,,,,,,,,,,,,
Arsenal DL 2010/2011,Arsenal,Premier League,2010/2011,4,38,19,11,8,68,72,43,29,72,57.7,83.4,24,10,45,492,54,3,9,4,2,20.3,6.7,27,18.7,11.1,11.9,1.7,0.2,2.4,28.3,2.5,2.2,2.4,0.1,1.3,1.1,17.2,6.1,1.3,9.8,1.9,0.4,1.3,0.1,8.2,10.5,18.7,15.8,27.8,13.7,14.1,537.3,22.7,21.3,425.1,68.1,13.3,2,11.4,0.3,0.1,0.4,0,0,0.8,1.5,243,150,6.394736842,3.947368421,,,,,,,,,,,,,,,,,,
Manchester City DL 2010/2011,Manchester City,Premier League,2010/2011,3,38,21,8,9,71,60,33,27,58,52.5,81.5,20,4,56,425,35,2,13,8,2,21.7,6.8,28.6,16.6,11.1,12.8,1.9,0.1,2.7,31.7,3.4,3,2.8,0.1,1.4,1.3,14.4,6.2,0.7,7.4,1.5,0.2,1.1,0.2,8.4,9.1,17.6,13.7,23.1,12.2,10.9,477.2,28.9,25,360.1,63.2,10.4,1.8,8.6,0.2,0,0.2,0.1,0,0.6,1,182,153,4.789473684,4.026315789,,,,,,,,,,,,,,,,,,
Tottenham DL 2010/2011,Tottenham,Premier League,2010/2011,5,38,16,14,8,62,55,46,9,55,53.4,79.6,25,3,75,383,33,3,12,5,2,19.8,6.3,26.1,17.4,13,10.5,1.3,0.1,1.6,35.9,3.7,3.8,3.5,0.1,1.7,1.8,17.3,9,0.9,7.4,1.4,0.2,0.8,0.4,8.1,9.9,18,14.7,29.7,16.2,13.5,452.2,42.7,29.3,317.2,63,12.7,2.6,10.2,0.2,0.1,0,0,0,0.7,0.9,202,183,5.315789474,4.815789474,,,,,,,,,,,,,,,,,,
Liverpool DL 2010/2011,Liverpool,Premier League,2010/2011,6,38,17,7,14,58,59,44,15,61,51.5,76.6,22,4,64,391,38,3,11,6,1,23.9,7.5,31.4,15.6,11.4,12.1,1.7,0.1,2.3,28.2,3.4,2.6,2.5,0.1,1.2,1.2,15.3,6.5,1.1,7.8,1.6,0.3,1.1,0.1,8.3,7.6,16,13,27.5,13.9,13.6,450.2,33,28.8,311.9,76.5,11.3,2.6,8.8,0.2,0.1,0.2,0,0,0.4,0.8,204,149,5.368421053,3.921052632,,,,,,,,,,,,,,,,,,
Fulham DL 2010/2011,Fulham,Premier League,2010/2011,8,38,11,16,11,49,49,43,6,49,50.2,75.5,23,3,64,380,27,2,17,2,1,21,8.7,29.7,17.6,12,12.8,1.4,0,2.6,39.8,3.2,2.5,3.1,0.2,1.4,1.4,14.4,7,0.8,6.6,1.4,0.3,0.8,0.2,5.7,5.4,11.1,14.7,34.1,16,18.1,439.8,27.3,35.4,304.9,72.3,11.2,2.6,8.6,0.4,0.1,0.1,0.1,0,0.4,0.9,182,171,4.789473684,4.5,,,,,,,,,,,,,,,,,,
Bolton DL 2010/2011,Bolton,Premier League,2010/2011,14,38,12,10,16,46,52,56,-4,52,47.4,66.6,22,3,74,273,29,3,14,4,2,24.7,8.7,33.4,16.5,11,13.5,1.8,0.1,1.5,38.6,3.9,3,3.5,0.2,1.8,1.6,15,6.5,1.1,7.4,1.3,0.3,0.8,0.2,5.6,5.9,11.6,11,38.2,20.9,17.3,344.6,35.8,36,193.7,79.2,10.6,2.9,7.7,0.3,0.1,0.1,0.1,0,0.5,0.9,176,193,4.631578947,5.078947368,,,,,,,,,,,,,,,,,,
Sunderland DL 2010/2011,Sunderland,Premier League,2010/2011,10,38,12,11,15,47,45,56,-11,45,48.8,71,23,3,69,315,28,2,8,4,3,21.6,7.1,28.7,18.3,10.9,11.6,1.5,0.1,2.6,34,3.5,2.8,3.2,0.2,1.3,1.6,14,7.1,0.6,6.3,1.1,0.2,0.8,0.1,9.6,6.6,16.2,11.6,37.3,17.8,19.5,382.4,28.6,39.3,242.9,71.6,10.3,2.1,8.1,0.3,0,0.1,0,0,0.3,0.7,159,206,4.184210526,5.421052632,,,,,,,,,,,,,,,,,,
Aston Villa DL 2010/2011,Aston Villa,Premier League,2010/2011,9,38,12,12,14,48,48,59,-11,48,49.1,73.4,26,3,63,336,28,4,9,4,3,22.2,7.4,29.6,17.6,11.9,12.3,1.9,0.1,2.4,29.4,4.8,2.9,2.8,0.3,1.5,1,13.3,5.1,1.2,7,1.2,0.3,0.7,0.2,8,5.9,13.9,9.2,33.7,16.5,17.2,394.4,28.6,32.2,261,72.7,10.2,2.9,7.3,0.4,0,0.2,0,0,0.3,0.9,167,189,4.394736842,4.973684211,,,,,,,,,,,,,,,,,,
Everton DL 2010/2011,Everton,Premier League,2010/2011,7,38,13,15,10,54,51,45,6,51,49.9,75.5,27,2,70,325,29,4,14,3,1,20.2,6.5,26.7,12.4,13.9,13.1,1.4,0.1,2.1,33.4,3.9,2.2,2.5,0.1,1.2,1.2,15.3,6.7,1,7.5,1.4,0.3,0.8,0.2,6.3,7,13.3,13.8,30.6,14.4,16.2,388.1,35.7,31.9,257.3,63.1,11.2,2.6,8.6,0.4,0.1,0.1,0.1,0,0.4,0.9,192,153,5.052631579,4.026315789,,,,,,,,,,,,,,,,,,
Wigan DL 2010/2011,Wigan,Premier League,2010/2011,16,38,9,15,14,42,40,61,-21,40,50.6,74.8,16,3,68,344,20,5,9,2,4,24.1,7.5,31.6,20.1,11.4,13.1,1.8,0.1,1.9,31.5,3.1,2.5,3.2,0.3,1.9,1,13.4,6.7,0.6,6.2,0.9,0.2,0.6,0.2,11.4,9.9,21.4,14.2,26.3,12.5,13.8,408.8,30.6,35.9,275.1,67.3,9.8,2.1,7.8,0.1,0,0.2,0,0,0.3,0.6,175,196,4.605263158,5.157894737,,,,,,,,,,,,,,,,,,
Newcastle DL 2010/2011,Newcastle,Premier League,2010/2011,12,38,11,13,14,46,56,57,-1,57,49.8,75.4,27,3,66,320,29,1,20,5,1,17.5,7.2,24.7,16,13.5,12.4,2.1,0.1,2.2,27,3.5,2.6,2.4,0.2,1.4,0.8,13.3,5,1.3,7,1.5,0.5,0.8,0.2,8.8,7.6,16.3,13.9,30.6,15.8,14.8,383,32.3,32.2,256.4,62,9.2,2.6,6.6,0.3,0.1,0.1,0.1,0,0.4,0.8,179,161,4.710526316,4.236842105,,,,,,,,,,,,,,,,,,
West Ham DL 2010/2011,West Ham,Premier League,2010/2011,20,38,7,12,19,33,43,70,-27,43,46.4,74.9,21,3,68,299,22,1,13,5,2,20.6,8.1,28.7,15.3,9.9,12.1,1.6,0,3.2,35.6,4.8,3.4,4.2,0.2,1.7,2.3,15.1,6.9,0.8,7.4,1.1,0.2,0.7,0.1,6.8,6.2,13,15.1,31,16.3,14.7,362.3,34.3,31.7,237.1,59.2,11.3,3.2,8.1,0.3,0.1,0.1,0,0,0.3,0.6,176,243,4.631578947,6.394736842,,,,,,,,,,,,,,,,,,
Stoke DL 2010/2011,Stoke,Premier League,2010/2011,13,38,13,7,18,46,46,48,-2,46,42,63.4,20,2,66,220,19,4,18,3,2,18.8,6.3,25.2,14,10.6,11.6,1.8,0.1,1.9,34.6,4.1,2.4,3.2,0.2,1.7,1.3,12.7,4.6,1.7,6.4,1.2,0.4,0.6,0.1,6.9,4.5,11.4,11.8,36.9,19.8,17.1,283.4,28.7,36.5,151,67.2,8.5,3.4,5.1,0.3,0.1,0.1,0.1,0,0.2,0.7,146,176,3.842105263,4.631578947,,,,,,,,,,,,,,,,,,
Blackburn DL 2010/2011,Blackburn,Premier League,2010/2011,15,38,11,10,17,43,46,59,-13,46,44,64.2,22,1,65,242,22,1,18,1,4,19.7,6.6,26.2,19.3,11.3,13.1,1.7,0.1,2.3,40,4.8,3.3,3.2,0.1,1.7,1.4,11.9,4.3,1.1,6.5,1.1,0.3,0.6,0.2,8,5.6,13.6,9.4,32.6,15.7,16.8,304.4,24.2,39.9,171.3,69,8.1,2.3,5.7,0.2,0.1,0.1,0.1,0,0.5,0.8,143,194,3.763157895,5.105263158,,,,,,,,,,,,,,,,,,
Blackpool DL 2010/2011,Blackpool,Premier League,2010/2011,19,38,10,9,19,39,55,78,-23,59,49.9,75.4,22,2,80,335,27,3,17,7,1,20.5,8.8,29.3,11.9,10.5,11.6,1.2,0.1,2.6,42.5,5.4,3.1,3.8,0.1,2.1,1.6,14,6.7,1.4,5.9,1.6,0.4,0.7,0.3,7.3,7,14.3,13.1,30,13.5,16.5,409.2,38,40.2,270.7,60.3,10.1,2.2,7.9,0.4,0.1,0.1,0,0,0.5,0.9,171,240,4.5,6.315789474,,,,,,,,,,,,,,,,,,
West Bromwich DL 2010/2011,West Bromwich,Premier League,2010/2011,11,38,12,11,15,47,56,71,-15,56,48.7,77.2,21,3,70,318,35,3,11,4,3,19.1,7.2,26.3,17.4,10.5,11.3,1.4,0.2,2.7,28.6,3.3,3.1,2.8,0.2,1.4,1.2,15.7,7.5,1.1,7.2,1.5,0.4,0.9,0.2,8.3,8,16.4,13.8,23.1,11.2,11.9,384.7,35.9,32.5,261.1,55.2,11.8,2.9,8.9,0.3,0.1,0.2,0,0,0.6,1.1,183,182,4.815789474,4.789473684,,,,,,,,,,,,,,,,,,
Birmingham DL 2010/2011,Birmingham,Premier League,2010/2011,18,38,8,15,15,39,37,58,-21,37,47.9,70.6,21,2,82,302,18,1,16,2,0,17.6,7.3,24.9,15.1,11.8,11.4,1.5,0.1,2.4,33.2,4.7,3.1,4.5,0.2,2.2,2.1,10.6,4.9,0.9,4.7,1.1,0.4,0.5,0.1,5.1,4,9.1,9.9,35.5,16.9,18.6,380.3,35.2,45.3,233.2,66.6,7.8,2.4,5.4,0.2,0,0,0.1,0,0.4,0.7,122,257,3.210526316,6.763157895,,,,,,,,,,,,,,,,,,
Wolverhampton DL 2010/2011,Wolverhampton,Premier League,2010/2011,17,38,11,7,20,40,46,66,-20,46,49.6,71.6,29,2,72,331,25,1,16,3,1,17.8,5.6,23.4,13.7,11.9,12.6,1.6,0.1,2.4,31.7,4,2.3,3.3,0.1,1.8,1.3,12.1,4.7,1.3,6.1,1.2,0.4,0.7,0.1,6.5,4.2,10.7,11.2,31.2,14.7,16.4,399.6,29.3,41.8,256.7,71.9,8.8,2.4,6.4,0.4,0.1,0.1,0.1,0,0.3,0.9,145,199,3.815789474,5.236842105,,,,,,,,,,,,,,,,,,
Manchester United DL 2011/2012,Manchester United,Premier League,2011/2012,2,38,28,5,5,89,89,33,56,89,55.9,84.8,27,3,66,478,58,2,18,9,2,21.1,6.1,27.2,15.1,10.2,10.2,1.3,0,2.3,30.7,3.6,2.1,3.2,0.1,1.3,1.8,17,6.7,1.6,8.8,2.3,0.6,1.3,0.4,5.5,8.7,14.2,13.7,17.6,8.3,9.3,540.1,41.9,23,416,59.3,13.4,2.3,11.1,0.6,0,0.2,0,0,1,1.8,255,159,6.710526316,4.184210526,,,,,,,,,,,,,,,,,,
Manchester City DL 2011/2012,Manchester City,Premier League,2011/2012,1,38,28,5,5,89,93,29,64,93,56.6,85.4,22,8,51,504,59,6,19,7,2,18.3,5.8,24.1,16.6,9.8,11.3,1.3,0.1,2.2,24.4,2.9,3,2.6,0.2,1.1,1.2,19.4,7.6,1.5,10.4,2.4,0.5,1.4,0.5,7.1,8.6,15.7,12.6,16.8,9,7.7,556.1,29.7,21.3,445.4,59.6,15.3,2.2,13.1,0.5,0.2,0.3,0,0,1,1.9,262,133,6.894736842,3.5,,,,,,,,,,,,,,,,,,
Tottenham DL 2011/2012,Tottenham,Premier League,2011/2012,4,38,20,9,9,69,66,41,25,66,55.5,84.2,22,4,71,458,47,5,9,4,1,19.3,5.3,24.6,18.8,10.2,9.9,1.1,0.1,2.4,27.5,3.2,2,3,0.3,1.2,1.5,18.4,8.7,1.1,8.7,1.7,0.3,1.1,0.4,7.1,8.6,15.7,14.2,20.2,11,9.2,523.5,43.8,24.4,397.3,58.1,14.1,2.7,11.4,0.2,0.1,0.2,0,0,0.8,1.2,240,163,6.315789474,4.289473684,,,,,,,,,,,,,,,,,,
Arsenal DL 2011/2012,Arsenal,Premier League,2011/2012,3,38,21,7,10,70,74,49,25,79,57.7,84.1,24,8,51,501,54,10,8,2,0,19.7,7,26.7,15.9,10.8,10.7,1.7,0.1,2.3,20.1,2.4,0.7,2.2,0.2,1.2,0.8,16.8,5.8,1.4,9.5,2.1,0.4,1.3,0.3,7.4,9.8,17.1,15.4,20.1,10.6,9.6,549.6,28.5,20.9,433.8,66.4,13.3,1.9,11.4,0.4,0.1,0.4,0,0,0.7,1.5,230,135,6.052631579,3.552631579,,,,,,,,,,,,,,,,,,
Chelsea DL 2011/2012,Chelsea,Premier League,2011/2012,6,38,18,10,10,64,65,46,19,64,54.2,84.5,26,4,61,444,43,2,14,4,2,18.4,7.3,25.7,16.7,11,11.3,1.9,0.1,1.8,23.2,2.9,1.8,2.6,0.1,1.1,1.4,17.7,8.5,1,8.1,1.7,0.4,1.1,0.1,6.1,7.5,13.6,15,14.9,8.3,6.6,502.1,36.9,22.7,387.4,55.1,13.1,2.9,10.2,0.6,0.2,0.1,0.1,0,0.5,1.2,232,161,6.105263158,4.236842105,,,,,,,,,,,,,,,,,,
